Дата покупки,Код товара,Махсулот,Имейка,Таннарх,Поставщик,Коробка,Ёмкость батареи,Память,Бренд,Состояние,Цвет
09.07.25,T0232,1) 15 Pro Max,356388812930450,880,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
08.07.25,T0180,1) 14 Pro Max,356703857567225,700,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
08.07.25,T0232,1) 15 Pro Max,351073878880980,900,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
08.07.25,T0299,1) 16 Pro Max,357507336087328,"1 360,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
08.07.25,T0299,1) 16 Pro Max,357435937634035,"1 280,000",Trade-in,,,256 GB,Apple,NEW,Gold
07.07.25,T0232,1) 15 Pro Max,351914988059249,880,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
06.07.25,T0299,1) 16 Pro Max,353397165880348,"1 340,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
05.07.25,T0162,1) 14 Pro,350056594617829,610,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
03.07.25,T0539,1) 11 PRO 64 GB,352819110202246,250,Aka Roshan,,,64 GB,,B/U,Graphite
02.07.25,T0299,1) 16 Pro Max,351361545796907,"1 320,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
01.07.25,T0232,1) 15 Pro Max,354694980076220,860,Abdulloh Aka,,,256 GB,Apple,B/U,Natural Titanium
01.07.25,T0232,1) 15 Pro Max,354550165709946,870,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
01.07.25,T0299,1) 16 Pro Max,351486005701798,"1 330,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
01.07.25,T0541,7) S25 Ultra,353551770149883,"1 080,000",Odil Trade in mobile,,,256 GB,,NEW,Black
30.06.25,T0232,1) 15 Pro Max,350727303454510,850,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
30.06.25,T0232,1) 15 Pro Max,354550165709946,780,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
28.06.25,T0180,1) 14 Pro Max,350550250963287,650,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
28.06.25,T0303,1) 16 Pro Max,350572413211701,"1 200,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
26.06.25,T0169,1) 14 Pro,350365158326911,600,Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
25.06.25,T0299,1) 16 Pro Max,351486005726399,"1 320,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
24.06.25,T0179,1) 14 Pro Max,358457888996824,700,Odil Trade in mobile,,,128 GB,Apple,B/U,Gold
23.06.25,T0539,1) 11 PRO 64 GB,353829109441183,250,Trade-in,,,64 GB,,B/U,Graphite
22.06.25,T0179,1) 14 Pro Max,358457888996824,590,Trade-in,,,128 GB,Apple,B/U,Gold
21.06.25,T0538,6) iMac M1 24-inch 8/256,H4THD0TKQ6WD,"1 080,000",B44,,,256 GB,,B/U,Purple
20.06.25,T0487,7) Samsung S24 Ultra,351885212892293,770,Abdulloh Aka,,,512 GB,,NEW,Black
19.06.25,T0315,1) 15 Pro,353281471699578,680,Agzamov Oybek,,,128 GB,Apple,B/U,Natural Titanium
19.06.25,T0232,1) 15 Pro Max,356677410842608,880,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
19.06.25,T0281,1) 16 Pro,355072395592256,"1 170,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Space Black
19.06.25,T0321,2) iWatch Ultra 2 49mm Ocean Band,CPXDQNPF7Y,700,Samandar QQB,,,,Apple,,Blue Titanium
19.06.25,T0321,2) iWatch Ultra 2 49mm Ocean Band,HV9V7TVK9D,700,Samandar QQB,,,,Apple,,Blue Titanium
18.06.25,T0232,1) 15 Pro Max,353650699854365,880,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
18.06.25,T0255,1) 16,350743498535708,970,Odil Trade in mobile,,,256 GB,Apple,NEW,Black
18.06.25,T0228,1) 15 Pro Max,356677410842608,730,Trade-in,,,256 GB,Apple,NEW,Natural Titanium
17.06.25,T0299,1) 16 Pro Max,353397165767727,"1 250,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
17.06.25,T0304,1) 16 Pro Max,353324834750371,"1 070,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
11.06.25,T0490,1) Iphone 11,356460103181687,50,Aka Roshan,,,64 GB,,B/U,Black
11.06.25,T0215,1) 15 Pro,353553413395071,730,Odil Trade in mobile,,,256 GB,Apple,B/U,Blue Titanium
11.06.25,T0232,1) 15 Pro Max,354550164832061,820,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
10.06.25,T0101,1) 13 Pro,888394,500,Mirfozil,,,128 GB,Apple,B/U,Sierra Blue
08.06.25,T0299,1) 16 Pro Max,351486003086820,"1 230,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
07.06.25,T0325,3) Air Pods 2 Pro,DQCN9GYQQ9,220,Odil Trade in mobile,,,,,,
07.06.25,T0489,3) AirPods 4 Bez Shum,C3632QGV3M,135,Odil Trade in mobile,,,64 GB,,NEW,White
05.06.25,T0180,1) 14 Pro Max,355656665427910,670,Abdulloh Aka,,,128 GB,Apple,B/U,Deep Purple
05.06.25,T0325,3) Air Pods 2 Pro,L7WL41371J,210,Odil Trade in mobile,,,,,,
05.06.25,T0445,2) Iwatch 10/46 Rose Gold,C99GN7C64G,380,Odil Trade in mobile,,,64 GB,Apple,NEW,Gold
05.06.25,T0488,3) AirPods 4,FC22QKF7TG,190,Odil Trade in mobile,,,64 GB,,NEW,White
05.06.25,T0536,5) MacBook Air M1 13inch,FVFJ78LY1WFY,368,Trade-in,,,256 GB,,B/U,Silver
05.06.25,T0537,2) iWatch 10/42 Rose Gold,HGV9P3K697,180,Trade-in,,,,,B/U,
04.06.25,T0060,1) 12 Pro Max,357210363173687,400,Odil Trade in mobile,,,128 GB,Apple,B/U,Pacific Blue
04.06.25,T0141,1) 14,358798485918442,420,Odil Trade in mobile,,,128 GB,Apple,B/U,Blue
04.06.25,T0169,1) 14 Pro,354540532305098,600,Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
04.06.25,T0303,1) 16 Pro Max,351366063969034,"1 100,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
04.06.25,T0534,1)  Samsung S 24 Ultra,350518498276457,770,Odil Trade in mobile,,,256 GB,,B/U,Natural Titanium
03.06.25,T0303,1) 16 Pro Max,351421086225011,"1 100,000",Abdulloh Aka,,,256 GB,Apple,B/U,Gold
03.06.25,T0299,1) 16 Pro Max,354868695269342,"1 230,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
03.06.25,T0535,7) Samsung S25 Ultra,352857871215601,980,Odil Trade in mobile,,,256 GB,,NEW,Natural Titanium
02.06.25,T0533,1) 11 Pro Max,353906101394030,320,Odil Trade in mobile,,,256 GB,,B/U,Silver
02.06.25,T0229,1) 15 Pro Max,359960731983682,620,Trade-in,,,256 GB,Apple,B/U,Black Titanium
01.06.25,T0225,1) 15 Pro Max,351073875412712,"1 080,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Natural Titanium
31.05.25,T0044,1) 12 Pro,355103318309344,360,Odil Trade in mobile,,,128 GB,Apple,B/U,Pacific Blue
30.05.25,T0299,1) 16 Pro Max,354868695774036,"1 240,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
30.05.25,T0532,7) S23 Ultra,356663764308503,620,Odil Trade in mobile,,,256 GB,,B/U,Alphine Green
28.05.25,T0510,(7) samsung s22 ultra b/u,351562315104103,450,Odil Trade in mobile,,,256 GB,,B/U,Black
27.05.25,T0131,1) 13 Pro Max,357782726180799,620,Odil Trade in mobile,,,256 GB,Apple,B/U,Sierra Blue
26.05.25,T0059,1) 12 Pro Max,355060583733576,420,Odil Trade in mobile,,,128 GB,Apple,B/U,Gold
25.05.25,T0068,1) 12 Pro Max,351330883578664,370,Odil Trade in mobile,,,256 GB,Apple,B/U,Pacific Blue
25.05.25,T0232,1) 15 Pro Max,350091878970024,870,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
25.05.25,T0518,7) Samsung S25 Ultra,351589496442929,"1 060,000",Odil Trade in mobile,,,512 GB,,NEW,Natural Titanium
22.05.25,T0172,1) 14 Pro,351542660429958,680,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
22.05.25,T0172,1) 14 Pro,354726636412373,620,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
21.05.25,T0044,1) 12 Pro,356680115219577,200,Aka Roshan,,,128 GB,Apple,B/U,Pacific Blue
21.05.25,T0180,1) 14 Pro Max,353704411593981,690,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
21.05.25,T0187,1) 14 Pro Max,359265380712840,630,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
21.05.25,T0216,1) 15 Pro,350623506985352,770,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
20.05.25,T0299,1) 16 Pro Max,351486000927026,"1 240,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
20.05.25,T0440,2) Iwatch 10/46  Jet Black,L7KXY6VK7D,360,A15 Samandar,,,128 GB,,NEW,Black
20.05.25,T0299,1) 16 Pro Max,359922295734828,"1 240,000",Abdulloh Aka,,,256 GB,Apple,NEW,Gold
19.05.25,T0121,1) 13 Pro Max,350566109570099,580,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
19.05.25,T0521,15 pro,14268,650,Trade-in,,,128 GB,,B/U,Black
18.05.25,T0232,1) 15 Pro Max,358525990750360,850,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
16.05.25,T0162,1) 14 Pro,353780672649746,480,Aka Roshan,,,128 GB,Apple,B/U,Deep Purple
16.05.25,T0121,1) 13 Pro Max,353869229535829,580,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
16.05.25,T0283,1) 16 Pro,355984834494268,"1 080,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
15.05.25,T0232,1) 15 Pro Max,350717694581153,830,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
15.05.25,T0299,1) 16 Pro Max,987654321012345,"1 270,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
10.05.25,T0188,1) 14 Pro Max,355999915838688,580,Trade-in,,,256 GB,Apple,B/U,Deep Purple
09.05.25,T0122,1) 13 Pro Max,352865671417004,580,Odil Trade in mobile,,,128 GB,Apple,B/U,Alphine Green
03.05.25,T0112,1) 13 Pro,353754681614090,315,Aka Roshan,,,256 GB,Apple,B/U,Alphine Green
01.05.25,T0232,1) 15 Pro Max,359824378606776,940,A15 Samandar,,,256 GB,Apple,B/U,Natural Titanium
01.05.25,T0531,4) iPad Pro 11inch (4th Gen) Wifi + Cellular,L69F4KLQ3V,710,B44,,,128 GB,,B/U,Silver
30.04.25,T0229,1) 15 Pro Max,358656808363482,880,Odil Trade in mobile,,,256 GB,Apple,B/U,Black Titanium
30.04.25,T0281,1) 16 Pro,351606586102476,"1 190,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Space Black
28.04.25,T0057,1) 12 Pro Max,359735196581803,280,Aka Roshan,,,128 GB,Apple,B/U,Graphite
28.04.25,T0169,1) 14 Pro,355281437565648,530,Aka Roshan,,,256 GB,Apple,B/U,Space Black
28.04.25,T0188,1) 14 Pro Max,352632928094121,650,Aka Roshan,,,256 GB,Apple,B/U,Deep Purple
28.04.25,T0076,1) 13,352280413455124,380,Odil Trade in mobile,,,128 GB,Apple,B/U,Midnight
28.04.25,T0300,1) 16 Pro Max,359922295662821,"1 285,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Natural Titanium
26.04.25,T0102,1) 13 Pro,355843800913505,480,Odil Trade in mobile,,,128 GB,Apple,B/U,Alphine Green
26.04.25,T0180,1) 14 Pro Max,355216224735400,670,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
26.04.25,T0232,1) 15 Pro Max,353134987887262,860,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
25.04.25,T0282,1) 16 Pro,350578803077206,"1 160,000",Odil Trade in mobile,,,256 GB,Apple,NEW,White Titanium
24.04.25,T0299,1) 16 Pro Max,357583474496084,"1 230,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
24.04.25,T0300,1) 16 Pro Max,355350432413896,"1 290,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Natural Titanium
20.04.25,T0530,Iphone XR,352885115930628,300,A15 Samandar,,,128 GB,,NEW,RED
20.04.25,T0110,1) 13 Pro,355786372872353,440,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
20.04.25,T0283,1) 16 Pro,351080264411981,"1 210,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
19.04.25,T0299,1) 16 Pro Max,351456001490008,"1 240,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
18.04.25,T0067,1) 12 Pro Max,123456789,400,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
17.04.25,T0299,1) 16 Pro Max,355350434674263,"1 250,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
16.04.25,T0216,1) 15 Pro,358819900496176,700,Aka Roshan,,,256 GB,Apple,B/U,Natural Titanium
15.04.25,T0445,2) Iwatch 10/46 Rose Gold,GXYF3G7N9C,365,Jamol aka B30,,,64 GB,Apple,NEW,Gold
15.04.25,T0529,1) MacBook Air  M3 13 inch 16/512 Gray,KRQL9Y0F6T,"1 140,000",Jamol aka B30,,,512 GB,,NEW,Teal
15.04.25,T0284,1) 16 Pro,352533573159393,"1 250,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Natural Titanium
15.04.25,T0188,1) 14 Pro Max,357711917091341,630,Trade-in,,,256 GB,Apple,B/U,Deep Purple
14.04.25,T0111,1) 13 Pro,352114953246439,500,Trade-in,,,256 GB,Apple,B/U,Sierra Blue
13.04.25,T0049,1) 12 Pro,354199140312028,360,Abdulloh Aka,,,256 GB,Apple,B/U,Graphite
12.04.25,T0299,1) 16 Pro Max,355506723031172,"1 250,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
11.04.25,T0101,1) 13 Pro,350367279197585,400,Trade-in,,,128 GB,Apple,B/U,Sierra Blue
07.04.25,T0130,1) 13 Pro Max,357177504175584,530,Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
06.04.25,T0528,7) Samsung Galaxy Tab A9,351506558757994,180,Odil Trade in mobile,,,64 GB,,NEW,Graphite
05.04.25,T0231,1) 15 Pro Max,354449447202996,800,Aka Roshan,,,256 GB,Apple,B/U,Blue Titanium
05.04.25,T0299,1) 16 Pro Max,355011343855993,"1 260,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
03.04.25,T0111,1) 13 Pro,354916453461732,470,Odil Trade in mobile,,,256 GB,Apple,B/U,Sierra Blue
03.04.25,T0133,1) 14,350596489056393,490,Trade-in,,,128 GB,Apple,NEW,Midnight
02.04.25,T0526,Macbook Air M4,BX3FNHW3R,"1 090,000",Abdulloh Aka,,,256 GB,,NEW,Blue
01.04.25,T0527,1) Xs Max,357268094080027,230,Abdulloh Aka,,,256 GB,,B/U,Black
01.04.25,T0163,1) 14 Pro,353559566487094,300,Trade-in,,,128 GB,Apple,B/U,Gold
01.04.25,T0315,1) 15 Pro,359370797852260,600,Trade-in,,,128 GB,Apple,B/U,Natural Titanium
31.03.25,T0188,1) 14 Pro Max,353843244527418,650,Aka Roshan,,,256 GB,Apple,B/U,Deep Purple
31.03.25,T0299,1) 16 Pro Max,354039223782723,"1 250,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
29.03.25,T0297,1) 16 Pro Max,357988125745245,"1 260,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Space Black
26.03.25,T0331,5) MacBook Air M2 8/256,LQXKN9DJ7G,970,Jamol aka B30,,,,,,
24.03.25,T0232,1) 15 Pro Max,353134988500260,740,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
24.03.25,T0491,2) Watch 10 46mm Milanese,CPW2PY3WJP,630,Trade-in,,,64 GB,,NEW,Natural Titanium
24.03.25,T0498,2) Iwatch Ultra 1,MKF4KL9L1F,280,Trade-in,,,64 GB,,B/U,Green
23.03.25,T0297,1) 16 Pro Max,357435930315178,"1 275,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Space Black
18.03.25,T0232,1) 15 Pro Max,358797334891347,760,Abdulloh Aka,,,256 GB,Apple,B/U,Natural Titanium
18.03.25,T0303,1) 16 Pro Max,357988121029362,"1 000,000",Trade-in,,,256 GB,Apple,B/U,Gold
16.03.25,T0172,1) 14 Pro,354542502296471,580,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
16.03.25,T0240,1) 15 Pro Max,354784326886166,880,Odil Trade in mobile,,,512 GB,Apple,B/U,Natural Titanium
15.03.25,T0510,(7) samsung s22 ultra b/u,353238130273609,500,Abdulloh Aka,,,256 GB,,B/U,Black
15.03.25,T0297,1) 16 Pro Max,358029691982810,"1 270,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Space Black
15.03.25,T0501,1) 16 Pro,354985552294088,"1 070,000",Odil Trade in mobile,,,128 GB,,NEW,White Titanium
14.03.25,T0299,1) 16 Pro Max,357988124250288,"1 260,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
14.03.25,T0111,1) 13 Pro,354509710764830,300,Trade-in,,,256 GB,Apple,B/U,Sierra Blue
12.03.25,T0232,1) 15 Pro Max,357300543156502,880,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
12.03.25,T0185,1) 14 Pro Max,355281436154386,550,Trade-in,,,256 GB,Apple,B/U,Space Black
12.03.25,T0315,1) 15 Pro,353281472104719,620,Trade-in,,,128 GB,Apple,B/U,Natural Titanium
11.03.25,T0300,1) 16 Pro Max,350572417770116,"1 260,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Natural Titanium
11.03.25,T0102,1) 13 Pro,355677815684382,400,Trade-in,,,128 GB,Apple,B/U,Alphine Green
10.03.25,T0180,1) 14 Pro Max,353266548085356,520,Trade-in,,,128 GB,Apple,B/U,Deep Purple
09.03.25,T0498,2) Iwatch Ultra 1,JJ3QFVRW36,400,Abdulloh Aka,,,64 GB,,B/U,Green
08.03.25,T0283,1) 16 Pro,350331587418026,"1 180,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
08.03.25,T0299,1) 16 Pro Max,353995653283600,"1 190,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
08.03.25,T0523,2) iWatch 10/46 Rose Gold,ASDF1234,330,Odil Trade in mobile,,,64 GB,,B/U,
07.03.25,T0489,3) AirPods 4 Bez Shum,GPVQ4FCXNW,125,A15 Samandar,,,64 GB,,NEW,White
07.03.25,T0522,7) Samsung S22 Ultra,352958190430671,510,Abdulloh Aka,,,512 GB,,B/U,Blue
7.3.25,T0188,1) 14 Pro Max,352632924657673,680,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
7.3.25,T0225,1) 15 Pro Max,358181359980303,"1 080,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Natural Titanium
7.3.25,T0297,1) 16 Pro Max,356415751200064,"1 190,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Space Black
7.3.25,T0504,1) 16 Pro,350717760323803,"1 060,000",Odil Trade in mobile,,,128 GB,,NEW,Desert Titanium
7.3.25,T0315,1) 15 Pro,357734402249927,670,Trade-in,,,128 GB,Apple,B/U,Natural Titanium
5.3.25,T0232,1) 15 Pro Max,350091873451483,740,Temur,,,256 GB,Apple,B/U,Natural Titanium
3.3.25,T0225,1) 15 Pro Max,357164769651442,"1 090,000",A15 Samandar,,,256 GB,Apple,NEW,Natural Titanium
28.2.25,T0225,1) 15 Pro Max,357164769911838,"1 080,000",A15 Samandar,,,256 GB,Apple,NEW,Natural Titanium
28.2.25,T0121,1) 13 Pro Max,352996435686046,560,Abdulloh Aka,,,128 GB,Apple,B/U,Sierra Blue
28.2.25,T0007,1) 12,354696408568357,185,Trade-in,,,64 GB,Apple,B/U,Black
28.2.25,T0101,1) 13 Pro,359664929207645,400,Trade-in,,,128 GB,Apple,B/U,Sierra Blue
28.2.25,T0315,1) 15 Pro,355746607515698,530,Trade-in,,,128 GB,Apple,B/U,Natural Titanium
26.2.25,T0052,1) 12 Pro,353147476629664,340,Odil Trade in mobile,,,256 GB,Apple,B/U,Pacific Blue
26.2.25,T0111,1) 13 Pro,352203778447387,410,Odil Trade in mobile,,,256 GB,Apple,B/U,Sierra Blue
26.2.25,T0188,1) 14 Pro Max,353425684109889,700,Temur,,,256 GB,Apple,B/U,Deep Purple
26.2.25,T0232,1) 15 Pro Max,351149515717403,820,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
25.2.25,T0299,1) 16 Pro Max,355011343192637,"1 180,000",Jamol aka B30,,,256 GB,Apple,NEW,Gold
25.2.25,T0172,1) 14 Pro,352624472664664,500,Trade-in,,,256 GB,Apple,B/U,Deep Purple
25.2.25,T0180,1) 14 Pro Max,350997794155484,570,Trade-in,,,128 GB,Apple,B/U,Deep Purple
24.2.25,T0112,1) 13 Pro,352835987688424,510,Odil Trade in mobile,,,256 GB,Apple,B/U,Alphine Green
24.02.25,T0490,1) Iphone 11,353992100730051,150,Trade-in,,,64 GB,,B/U,Black
22.02.25,T0283,1) 16 Pro,355109189230006,"1 110,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
19.02.25,T0237,1) 15 Pro Max,356303480331188,700,Aka Roshan,,,512 GB,Apple,B/U,Black Titanium
18.02.25,T0130,1) 13 Pro Max,356942218934035,565,Aziz  B30,,,256 GB,Apple,B/U,Gold
17.02.25,T0299,1) 16 Pro Max,353995653105142,"1 220,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
14.02.25,T0500,1) 16 Pro,355934723328382,"1 000,000",A15 Samandar,,,128 GB,,NEW,Black Titanium
14.02.25,T0052,1) 12 Pro,356702113182654,250,Aka Roshan,,,256 GB,Apple,B/U,Pacific Blue
13.02.25,T0521,15 pro,358819900014268,720,Odil Trade in mobile,,,128 GB,,B/U,Black
12.02.25,T0297,1) 16 Pro Max,350523893074903,"1 230,000",A15 Samandar,,,256 GB,Apple,NEW,Space Black
12.02.25,T0177,1) 14 Pro Max,357173344945781,640,Mirfozil,,,128 GB,Apple,B/U,Space Black
11.02.25,T0325,3) Air Pods 2 Pro,CPVCYFVDFY,195,A15 Samandar,,,,,,
11.2.25,T0232,1) 15 Pro Max,358472387459679,960,Abdulloh Aka,,,256 GB,Apple,B/U,Natural Titanium
11.2.25,T0215,1) 15 Pro,353864164744460,530,Trade-in,,,256 GB,Apple,B/U,Blue Titanium
10.2.25,T0299,1) 16 Pro Max,357343964109659,"1 220,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
10.2.25,T0500,1) 16 Pro,355934723165271,"1 025,000",A15 Samandar,,,128 GB,,NEW,Black Titanium
10.2.25,T0500,1) 16 Pro,21319,"1 025,000",A15 Samandar,,,128 GB,,NEW,Black Titanium
10.2.25,T0315,1) 15 Pro,353281472104719,670,Trade-in,,,128 GB,Apple,B/U,Natural Titanium
10.2.25,T0315,1) 15 Pro,354324410778100,670,Trade-in,,,128 GB,Apple,B/U,Natural Titanium
9.2.25,T0101,1) 13 Pro,351619853635268,430,Aka Roshan,,,128 GB,Apple,B/U,Sierra Blue
9.2.25,T0161,1) 14 Pro,351553267172487,550,Aka Roshan,,,128 GB,Apple,B/U,Space Black
9.2.25,T0319,1) 12 mini,353005117159584,145,Temur,,,128 GB,,,
8.2.25,T0297,1) 16 Pro Max,352913656599725,"1 220,000",A15 Samandar,,,256 GB,Apple,NEW,Space Black
6.2.25,T0520,2) Iwatch SE Gen 2,H4V96WWX4Y,215,A15 Samandar,,,64 GB,,NEW,Midnight
6.2.25,T0520,2) Iwatch SE Gen 2,J72MDJ9CR4,215,A15 Samandar,,,64 GB,,NEW,Midnight
6.2.25,T0035,1) 12,353054118470509,180,Aka Roshan,,,256 GB,Apple,B/U,Blue
5.2.25,T0232,1) 15 Pro Max,358181354420685,850,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
5.2.25,T0121,1) 13 Pro Max,359978125211676,550,Trade-in,,,128 GB,Apple,B/U,Sierra Blue
2.2.25,T0299,1) 16 Pro Max,351421081524699,"1 230,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
2.2.25,T0180,1) 14 Pro Max,357006621192778,530,Mirfozil,,,128 GB,Apple,B/U,Deep Purple
2.2.25,T0188,1) 14 Pro Max,351914966325752,550,Trade-in,,,256 GB,Apple,B/U,Deep Purple
1.2.25,T0300,1) 16 Pro Max,357002330384889,"1 200,000",A15 Samandar,,,256 GB,Apple,NEW,Natural Titanium
1.2.25,T0440,2) Iwatch 10/46  Jet Black,M6GLWTQYGY,400,A15 Samandar,,,128 GB,,NEW,Black
1.2.25,T0519,ipad pro 11-inch m2,WD9CJ9YDXV,890,A15 Samandar,,,256 GB,,NEW,Silver
1.2.25,T0490,1) Iphone 11,352012837369080,160,Aka Roshan,,,64 GB,,B/U,Black
1.2.25,T0504,1) 16 Pro,350059639934472,970,Trade-in,,,128 GB,,NEW,Desert Titanium
31.1.25,T0281,1) 16 Pro,350523895180153,"1 200,000",A15 Samandar,,,256 GB,Apple,NEW,Space Black
31.1.25,T0245,1) 16,359164498412064,790,Jamol aka B30,,,128 GB,Apple,NEW,Black
30.1.25,T0232,1) 15 Pro Max,353104760374630,900,Abdulloh Aka,,,256 GB,Apple,B/U,Natural Titanium
29.1.25,T0281,1) 16 Pro,351385196720262,"1 170,000",A15 Samandar,,,256 GB,Apple,NEW,Space Black
29.1.25,T0283,1) 16 Pro,354553641861018,"1 160,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
29.1.25,T0060,1) 12 Pro Max,351732277996826,410,Abdulloh Aka,,,128 GB,Apple,B/U,Pacific Blue
29.1.25,T0075,1) 13,123456789123456,280,Aka Roshan,,,128 GB,Apple,B/U,Starlight
28.1.25,T0300,1) 16 Pro Max,357002339665304,"1 270,000",Trade-in,,,256 GB,Apple,NEW,Natural Titanium
27.1.25,T0299,1) 16 Pro Max,357988124857835,"1 200,000",Abdufatox Xojakbar,,,256 GB,Apple,NEW,Gold
27.1.25,T0177,1) 14 Pro Max,359236739321195,560,Trade-in,,,128 GB,Apple,B/U,Space Black
26.1.25,T0301,1) 16 Pro Max,351104511364924,"1 190,000",Abdulloh Aka,,,256 GB,Apple,B/U,Space Black
26.1.25,T0518,7) Samsung S25 Ultra,354237926728247,"1 360,000",Abdulloh Aka,,,512 GB,,NEW,Natural Titanium
26.1.25,T0232,1) 15 Pro Max,354694980705984,800,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
25.1.25,T0283,1) 16 Pro,355934721408442,"1 185,000",A15 Samandar,,,256 GB,Apple,NEW,Gold
25.1.25,T0232,1) 15 Pro Max,350069701827629,750,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
25.1.25,T0517,1) 12 mini,353003119965843,120,Trade-in,,,128 GB,,B/U,Blue
24.1.25,T0232,1) 15 Pro Max,351073872281367,900,Abdulloh Aka,,,256 GB,Apple,B/U,Natural Titanium
24.1.25,T0232,1) 15 Pro Max,354650918562509,950,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
24.1.25,T0515,7) Samsung S22,351424771925325,260,Temur,,,256 GB,,B/U,Black
24.1.25,T0514,7) Samsung S24 Ultra,352945213160542,910,b8 Abubakr,,,256 GB,,NEW,Black Titanium
